CS01	COUPE
CS02	VOL
CS03	SURF
CS04	FORCE
CS05	SIPHON
CS06	ECLATE_ROC
CS07	CASCADE
CS08	ESCALADE
CS09	PLONGEE
CT01	MITRA_POING
CT02	DRACOGRIFFE
CT03	VIBRAQUA
CT04	PLENITUDE
CT05	HURLEMENT
CT06	TOXIK
CT07	GRELE
CT08	GONFLETTE
CT09	BALLE_GRAINE
CT10	PUIS_CACHEE
CT11	ZENITH
CT12	PROVOC
CT13	LASER_GLACE
CT14	BLIZZARD
CT15	ULTRALASER
CT16	MUR_LUMIERE
CT17	ABRI
CT18	DANSE_PLUIE
CT19	GIGA_SANGSUE
CT20	RUNE_PROTECT
CT21	EXCUSE
CT22	LANCE_SOLEIL
CT23	QUEUE_DE_FER
CT24	TONNERRE
CT25	FATAL_FOUDRE
CT26	SEISME
CT27	RETOUR
CT28	TUNNEL
CT29	PSYKO
CT30	BALL_OMBRE
CT31	CASSE_BRIQUE
CT32	REFLET
CT33	PROTECTION
CT34	ONDE_DE_CHOC
CT35	LANCE_FLAMME
CT36	BOMB_BEURK
CT37	TEMPETESABLE
CT38	DEFLAGRATION
CT39	TOMBEROCHE
CT40	AEROPIQUE
CT41	TOURMENTE
CT42	FACADE
CT43	FORCE_CACHEE
CT44	REPOS
CT45	ATTRACTION
CT46	LARCIN
CT47	AILE_D_ACIER
CT48	ECHANGE
CT49	SAISIE
CT50	SURCHAUFFE
CT51	ATTERRISSAGE
CT52	EXPLOFORCE
CT53	ECO_SPHERE
CT54	FAUX_CHAGE
CT55	SAUMURE
CT56	DEGOMMAGE
CT57	RAYON_CHARGE
CT58	TENACITE
CT59	DRACOCHOC
CT60	VAMPIPOING
CT61	FEU_FOLLET
CT62	VENT_ARGENTE
CT63	EMBARGO
CT64	EXPLOSION
CT65	GRIFFE_OMBRE
CT66	REPRESAILLES
CT67	RECYCLAGE
CT68	GIGA_IMPACT
CT69	POLIROCHE
CT70	FLASH
CT71	LAME_DE_ROC
CT72	AVALANCHE
CT73	CAGE_ECLAIR
CT74	GYROBALLE
CT75	DANSE_LAMES
CT76	PIEGE_DE_ROC
CT77	BOOST
CT78	SEDUCTION
CT79	VIBROBSCUR
CT80	EBOULEMENT
CT81	PLAIE_CROIX
CT82	BLABLA_DODO
CT83	DON_NATUREL
CT84	DIRECT_TOXIK
CT85	DEVOREVE
CT86	NOEUD_HERBE
CT87	VANTARDISE
CT88	PICORE
CT89	DEMI_TOUR
CT90	CLONAGE
CT91	LUMINOCANON
CT92	DISTORSION
CT95	AIGUISAGE
CT96	CHOC_PSY
CT97	CHOC_VENIN
CT98	LEVIKINESIE
CT99	ANTI_AIR
CT100	CRADOVAGUE
CT101	NITROCHARGE
CT102	BALAYETTE
CT103	CHANT_CANON
CT104	ZONE_ETRANGE
CT105	EBULLITION
CT106	CHUTE_LIBRE
CT107	CALCINATION
CT108	A_LA_QUEUE
CT109	ACROBATIE
CT110	VENGEANCE
CT111	CHANGE_ECLAIR
CT112	SURVINSECTE
CT113	PIETISOL
CT114	SOUFFLE_GLACE
CT115	DRACO_QUEUE
CT116	RENGORGEMENT
CT117	ECLAIR_FOU
CT118	ECLATE_ROC
CT119	ABOIEMENT
