ABO	EKANS
ABRA	ABRA
ABSOL	ABSOL
AEROMITE	VENOMOTH
AEROPTERYX	ARCHEOPS
AFLAMANOIR	HEATMOR
AIKIVOL	AIKIFLY
AIRMURE	SKARMORY
AKWAKWAK	GOLDUCK
ALAKAZAM	ALAKAZAM
ALIGATUEUR	FERALIGATR
ALTARIA	ALTARIA
AMONISTAR	OMASTAR
AMONITA	OMANYTE
ANCHWATT	TYNAMO
ANORITH	ANORITH
APIREINE	VESPIQUEN
APITRINI	COMBEE
AQUALI	VAPOREON
ARAKDO	SURSKIT
ARBOK	ARBOK
ARCANIN	ARCANINE
ARCEUS	ARCEUS
ARCHEODONG	BRONZONG
ARCHEOMIRE	BRONZOR
ARCKO	TREECKO
ARKEAPTI	ARCHEN
ARMALDO	ARMALDO
ARMULYS	SILCOON
ARTIKODIN	ARTICUNO
ASPICOT	WEEDLE
AVALTOUT	SWALOT
AXOLOTO	WOOPER
AZUMARILL	AZUMARILL
AZURILL	AZURILL
BABIMANTA	MANTYKE
BAGGAID	SCRAFTY
BAGGIGUANE	SCRAGGY
BALBUTO	BALTOY
BALIGNON	SHROOMISH
BARBICHA	WHISCASH
BARGANTUA	BASCULIN
BARLOCHE	BARBOACH
BARPAU	FEEBAS
BASTIODON	BASTIODON
BATRACNE	PALPITOAD
BAUDRIVE	DRIFLOON
BEKIPAN	PELIPPER
BETOCHEF	CONKELDURR
BLINDALYS	CASCOON
BLIZZAROI	ABOMASNOW
BLIZZI	SNOVER
BOREAS	TORNADUS
BOSKARA	GROTLE
BOULDENEU	TANGROWTH
BOUSTIFLOR	WEEPINBELL
BRANETTE	BANETTE
BRASEGALI	BLAZIKEN
BROUHABAM	EXPLOUD
BRUTAPODE	SCOLIPEDE
BULBIZARRE	BULBASAUR
CACNEA	CACNEA
CACTURNE	CACTURNE
CADOIZO	DELIBIRD
CAMERUPT	CAMERUPT
CANARTICHO	FARFETCH
CANINOS	GROWLITHE
CAPIDEXTRE	AMBIPOM
CAPUMAIN	AIPOM
CARABAFFE	WARTORTLE
CARABING	KARRABLAST
CARAPAGOS	TIRTOUGA
CARAPUCE	SQUIRTLE
CARATROC	SHUCKLE
CARCHACROK	GARCHOMP
CARMACHE	GABITE
CARVANHA	CARVANHA
CASTORNO	BIBAREL
CELEBI	CELEBI
CERFROUSSE	STANTLER
CERIBOU	CHERUBI
CERIFLOR	CHERRIM
CHACRIPAN	PURRLOIN
CHAFFREUX	PURUGLY
CHAGLAM	GLAMEOW
CHAMALLOT	NUMEL
CHAPIGNON	BRELOOM
CHARKOS	RAMPARDOS
CHARMILLON	BEAUTIFLY
CHARMINA	MEDICHAM
CHARPENTI	TIMBURR
CHARTOR	TORKOAL
CHENIPAN	CATERPIE
CHENIPOTTE	WURMPLE
CHENISELLE	WORMADAM
CHENITI	BURMY
CHETIFLOR	BELLSPROUT
CHIMPENFEU	MONFERNO
CHINCHIDOU	MINCCINO
CHLOROBULE	PETILIL
CHOVSOURIR	WOOBAT
CHRYSACIER	METAPOD
CHUCHMUR	WHISMUR
CIZAYOX	SCIZOR
CLAMIRAL	SAMUROTT
CLIC	KLANG
CLITICLIC	KLINKLANG
COATOX	TOXICROAK
COBALTIUM	COBALION
COCHIGNON	PILOSWINE
COCONFORT	KAKUNA
COLHOMARD	CRAWDAUNT
COLOMBEAU	TRANQUILL
COLOSSINGE	PRIMEAPE
COQUIPERL	CLAMPERL
CORAYON	CORSOLA
CORBOSS	HONCHKROW
CORNEBRE	MURKROW
COTOVOL	JUMPLUFF
COUANETON	DUCKLETT
COUDLANGUE	LICKILICKY
COUPENOTTE	AXEW
COUVERDURE	SWADLOON
COXY	LEDYBA
COXYCLAQUE	LEDIAN
CRABARAQUE	CRUSTLE
CRABICOQUE	DWEBBLE
CRADOPAUD	CROAGUNK
CRAPUSTULE	SEISMITOAD
CREFADET	AZELF
CREFOLLET	MESPRIT
CREHELF	UXIE
