ACCRO_GRIFFE	GRIP_CLAW
AIMANT	MAGNET
BALLE_FER	IRON_BALL
BALLON	BALLOON
BANDEAU	FOCUS_BAND
BANDEAU_ETREINTE	PRESSURE_BAND
BAND_CHOIX	CHOICE_BAND
BAND_MUSCLE	MUSCLE_BAND
BAND_POUV	POWER_BAND
BATON	STICK
BEC_POINTU	SHARP_BEAK
BOUE_NOIRE	BLACK_SLUDGE
BIZAR_ENCENS	ODD_INCENSE
BOULE_FUMEE	SMOKE_BALL
BOUTON_FUITE	RED_BUTTON
BRAC_MACHO	MACHO_BRACE
BULBE	BULB
CARAPACE_MUE	SHED_SHELL
CARTE_ROUGE	RED_CARD
CASQUE_BRUT	HELMET
CEINT_FORCE	FOCUS_SASH
CEINT_NOIRE	BLACK_BELT
CEINTURE_PRO	EXPERT_BELT
CEINT_POUV	POWER_BELT
CHAINE_POUV	POWER_ANKLET
CHARBON	CHARCOAL
CROC_DRAGON	DRAGON_FANG
CUILLERTORDU	TWISTEDSPOON
EAU_MYSTIQUE	MYSTIC_WATER
ENCENS_DOUX	LAX_INCENSE
ENCENS_FLEUR	ROSE_INCENSE
ENCENS_MER	SEA_INCENSE
ENCENS_PLEIN	FULL_INCENSE
ENCENS_PUR	PURE_INCENSE
ENCENS_ROC	ROCK_INCENSE
ENCENS_VAGUE	WAVE_INCENSE
ENCENS_VEINE	LUCK_INCENSE
EVOLUROC	EVOLUTION_STONE
FERRAILLE	IRONING
GLACETERNEL	NEVERMELTICE
GRAIN_MIRACL	MIRACLE_SEED
GRELOT_COQUE	SHELL_BELL
GRELOT_ZEN	SOOTHE_BELL
GROSSERACINE	BIG_ROOT
HERBEBLANCHE	WHITE_HERB
HERBE_MENTAL	MENTAL_HERB
HERBE_POUV	POWER_HERB
LENT_POUV	POWER_LENS
LENTILSCOPE	SCOPE_LENS
LENTIL_ZOOM	ZOOM_LENS
LOUPE	WIDE_LENS
LUMARGILE	LIGHT_CLAY
LUNET_CHOIX	CHOICE_SPECS
LUNET_NOIRES	BLACKGLASSES
LUNET_SAGES	WISE_GLASSES
MASSE_OS	THICK_CLUB
METRONOME	METRONOME
MOUCH_CHOIX	CHOICE_SCARF
MOUCH_SOIE	SILK_SCARF
MULTI_EXP	EXP_SHARE
NOEUD_DESTIN	DESTINY_KNOT
ORBE_ADAMANT	ADAMANT_ORB
ORBE_FLAMME	FLAME_ORB
ORBE_PERLE	LUSTROUS_ORB
ORBE_PLATINE	GRISEOUS_ORB
ORBE_TOXIQUE	TOXIK_ORB
ORBE_VIE	LIFE_ORB
OEUF_CHANCE	LUCKY_EGG
PIC_VENIN	POISON_BARB
PIECE_RUNE	AMULET_COIN
PIERRALLEGEE	LIGHT_STONE
PIERRE_DURE	HARD_STONE
PIERRE_STASE	EVERSTONE
PILE	CELL_BATTERY
PIQUANTS	STICKY_BARB
POIDS_POUV	POWER_WEIGHT
POIGN_POUV	POWER_BRACER
POING_CHANCE	LUCKY_PUNCH
POUDRE_ARG	SILVERPOWDER
POUDRECLAIRE	BRIGHTPOWDER
POUDRE_METAL	METAL_POWDER
POUDRE_VITE	QUICK_POWDER
PT_DE_MIRE	RING_TARGET
RALENTIQUEUE	LAGGING_TAIL
RESTES	LEFTOVERS
ROCHE_CHAUDE	HEAT_ROCK
ROCHE_GLACE	ICY_ROCK
ROCHE_HUMIDE	DAMP_ROCK
ROCHE_LISSE	SMOOTH_ROCK
RUNE_PURIF	CLEANSE_TAG
RUNE_SORT	SPELL_TAG
SABLE_DOUX	SOFT_SAND
VIVE_GRIFFE	QUICK_CLAW
